id,key,value,type
30748970,hour_on,07:00,access
30748970,hour_on,08:00,oneway
30748970,hour_off,08:00,access
30748970,hour_off,22:00,oneway
30749235,highway,service,regular
30749235,name,杨梅竹斜街,regular
30749235,en,Yangmeizhu,name
30749235,service,alley,regular
30752975,highway,service,regular
30752975,name,大耳胡同,regular
30752975,en,Da'er Hutong,name
30752975,service,alley,regular
30765862,highway,service,regular
30765862,name,长巷头条,regular
30765862,en,Changxiang Toutiao,name
30765862,zh,长巷头条,name
30765862,service,alley,regular
30765905,name,长巷二条,regular
30765905,highway,service,regular
30765905,en,Changxiang Ertiao,name
30765905,zh,长巷二条,name
30765905,service,alley,regular
30766002,highway,service,regular
30766002,name,腊竹胡同,regular
30766002,en,Lazhu Hutong,name
30766002,service,alley,regular
30766127,name,鲜鱼口街,regular
30766127,bicycle,no,regular
30766127,highway,pedestrian,regular
30766478,highway,service,regular
30766478,service,alley,regular
30766539,name,前海西街,regular
30766539,highway,tertiary,regular
30766539,en,Qianhai West Street,name
30766539,surface,asphalt,regular
30766539,int_name,Qianhai Xijie,regular
30766818,name,后海夹道,regular
30766818,highway,service,regular
30766818,en,Houhai Jiadao,name
30766818,service,alley,regular
30766917,name,东福寿里,regular
30766917,highway,unclassified,regular
30766917,en,Dongfushouli,name
30766917,surface,asphalt,regular
30766917,int_name,Dongfushou Li,regular
30767084,name,西口袋胡同,regular
30767084,highway,service,regular
30767084,en,Xikoudai Hutong,name
30767084,service,alley,regular
30767242,name,藕芽胡同,regular
30767242,highway,service,regular
30767242,service,alley,regular
30767242,int_name,Ouya Hutong,regular
30767331,name,西海东沿,regular
30767331,highway,service,regular
30767331,en,Xihai East,name
30767331,zh,西海东沿,name
30767331,service,alley,regular
30767471,name,前肖家胡同,regular
30767471,highway,service,regular
30767471,en,Qianxiaojia Alley,name
30767471,service,alley,regular
30767599,highway,service,regular
30767599,service,alley,regular
30767761,name,辛寺胡同,regular
30767761,highway,service,regular
30767761,en,Xinsi Alley,name
30767761,service,alley,regular
30784020,name,北京师范大学,regular
30784020,amenity,university,regular
30784020,en,Beijing Normal University (BNU),name
30784020,zh,北京师范大学,name
30784020,int_name,Beijing Normal University,regular
30784020,street,新街口外大街,addr
30784020,postcode,100875,addr
30784020,housenumber,19,addr
30784399,name,新开胡同,regular
30784399,highway,service,regular
30784399,en,Xinkai Hutong,name
30784399,service,alley,regular
30801937,name,吉安所右巷,regular
30801937,highway,service,regular
30801937,service,alley,regular
30802356,highway,tertiary,regular
30802356,int_name,Beiheyuan Street,regular
30802356,name,北河沿大街,regular
30802356,en,Bei He Yan Street,name
30802542,highway,service,regular
